[18,0] 1
[17,1] -1
[17,0] 744
[16,0] 196758
[15,1] 119
[15,0] 21404972
[14,1] 238
[14,0] 842077983
[13,1] -5338
[13,0] 17948904708
[12,1] -20808
[12,0] 244914883280
[11,1] 91766
[11,0] 2329163268408
[10,1] 630836
[10,0] 16210658303007
[9,1] 70737
[9,0] 85028433903248
[8,1] -7118240
[8,0] 341892490692606
[7,1] -16023299
[7,0] 1062287798439420
[6,1] 13049914
[6,0] 2550866026451633
[5,1] 98725154
[5,0] 4696728278154564
[4,1] 125706976
[4,0] 6513943516038012
[3,1] -18738794
[3,0] 6589528427769248
[2,1] -169635044
[2,0] 4591535167608048
[1,1] -128884056
[0,2] 1
[1,0] 1971050433995328
[0,1] -25608112
[0,0] 393059647379008
